Date	Time	CedHt
1/29/20	22:00	6.12
1/29/20	22:15	6.12
1/29/20	22:30	6.12
1/29/20	22:45	6.12
1/29/20	23:00	6.12
1/29/20	23:15	6.12
1/29/20	23:30	6.13
1/29/20	23:45	6.13
1/30/20	0:00	6.13
1/30/20	0:15	6.13
1/30/20	0:30	6.13
1/30/20	0:45	6.13
1/30/20	1:00	6.13
1/30/20	1:15	6.13
1/30/20	1:30	6.13
1/30/20	1:45	6.13
1/30/20	2:00	6.14
1/30/20	2:15	6.14
1/30/20	2:30	6.14
1/30/20	2:45	6.14
1/30/20	3:00	6.14
1/30/20	3:15	6.14
1/30/20	3:30	6.14
1/30/20	3:45	6.14
1/30/20	4:00	6.14
1/30/20	4:15	6.14
1/30/20	4:30	6.14
1/30/20	4:45	6.14
1/30/20	5:00	6.14
1/30/20	5:15	6.14
1/30/20	5:30	6.14
1/30/20	5:45	6.14
1/30/20	6:00	6.14
1/30/20	6:15	6.13
1/30/20	6:30	6.13
1/30/20	6:45	6.13
1/30/20	7:00	6.12
1/30/20	7:15	6.12
1/30/20	7:30	6.11
1/30/20	7:45	6.11
1/30/20	8:00	6.1
1/30/20	8:15	6.1
1/30/20	8:30	6.09
1/30/20	8:45	6.08
1/30/20	9:00	6.08
1/30/20	9:15	6.06
1/30/20	9:30	6.06
1/30/20	9:45	6.05
1/30/20	10:00	6.04
1/30/20	10:15	6.03
1/30/20	10:30	6.02
1/30/20	10:45	6.01
1/30/20	11:00	6
1/30/20	11:15	5.99
1/30/20	11:30	5.98
1/30/20	11:45	5.97
1/30/20	12:00	5.95
1/30/20	12:15	5.95
1/30/20	12:30	5.93
1/30/20	12:45	5.92
1/30/20	13:00	5.91
1/30/20	13:15	5.9
1/30/20	13:30	5.89
1/30/20	13:45	5.88
1/30/20	14:00	5.86
1/30/20	14:15	5.85
1/30/20	14:30	5.83
1/30/20	14:45	5.82
1/30/20	15:00	5.81
1/30/20	15:15	5.79
1/30/20	15:30	5.79
1/30/20	15:45	5.78
1/30/20	16:00	5.76
1/30/20	16:15	5.75
1/30/20	16:30	5.74
1/30/20	16:45	5.73
1/30/20	17:00	5.72
1/30/20	17:15	5.7
1/30/20	17:30	5.69
1/30/20	17:45	5.68
1/30/20	18:00	5.66
1/30/20	18:15	5.65
1/30/20	18:30	5.64
1/30/20	18:45	5.63
1/30/20	19:00	5.62
1/30/20	19:15	5.6
1/30/20	19:30	5.59
1/30/20	19:45	5.58
1/30/20	20:00	5.57
1/30/20	20:15	5.56
1/30/20	20:30	5.55
1/30/20	20:45	5.54
1/30/20	21:00	5.52
1/30/20	21:15	5.52
1/30/20	21:30	5.5
1/30/20	21:45	5.49
1/30/20	22:00	5.48
1/30/20	22:15	5.47
1/30/20	22:30	5.46
1/30/20	22:45	5.45
1/30/20	23:00	5.44
1/30/20	23:15	5.43
1/30/20	23:30	5.42
1/30/20	23:45	5.41
1/31/20	0:00	5.4
1/31/20	0:15	5.39
1/31/20	0:30	5.38
1/31/20	0:45	5.37
1/31/20	1:00	5.36
1/31/20	1:15	5.35
1/31/20	1:30	5.34
1/31/20	1:45	5.33
1/31/20	2:00	5.32
1/31/20	2:15	5.32
1/31/20	2:30	5.31
1/31/20	2:45	5.3
1/31/20	3:00	5.29
1/31/20	3:15	5.28
1/31/20	3:30	5.27
1/31/20	3:45	5.26
1/31/20	4:00	5.26
1/31/20	4:15	5.25
1/31/20	4:30	5.24
