V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
5.3	15.53	13.47	13.91	3.57	8.68	9.09	11.47	9.63	12.21
5.293876938	15.51631316	13.4277939	13.91585293	3.560015008	8.650685343	9.016788394	11.47	9.637293647	12.19993497
5.285507754	15.49893947	13.39558779	13.92682341	3.530090045	8.621370685	8.963576788	11.47	9.630825413	12.14662331
5.273261631	15.47787894	13.36338169	13.95023512	3.53	8.592056028	8.925182591	11.47	9.62188094	12.11973987
5.27	15.45050525	13.33411706	13.96682341	3.51012006	8.562741371	8.92	11.47209105	9.629174587	12.05298649
5.269384692	15.43156578	13.30896948	13.97852926	3.51	8.526783392	8.94	11.47761381	9.642936468	11.99311656
5.263261631	15.41575788	13.28117559	13.98511756	3.500090045	8.49014007	8.988904452	11.48	9.661285643	11.8996098
5.257138569	15.38838419	13.2494097	13.99097049	3.5	8.454797399	9.054962481	11.48	9.672611306	11.80590795
5.251015508	15.36575788	13.22411706	13.99682341	3.49012006	8.425482741	9.144232116	11.47581791	9.621555778	11.69947974
5.244892446	15.34522761	13.20676338	14.00802901	3.49	8.396168084	9.252261131	11.47029515	9.604357179	11.58882941
5.238769385	15.32469735	13.17793897	14.02558779	3.480150075	8.36028014	9.370290145	11.48045523	9.588254127	11.44181591
5.232646323	15.29888944	13.15382191	14.03438219	3.48	8.317538769	9.505982991	11.49075038	9.56092046	11.30856928
5.223046523	15.27151576	13.12352676	14.04023512	3.48981991	8.288224112	9.635617809	11.49627314	9.590095048	11.16843922
5.2108004	15.24414207	13.10088044	14.04608804	3.49	8.258909455	9.776128064	11.5	9.566278139	11.01830915
5.204277139	15.22257629	13.08911456	14.05388194	3.480210105	8.226993497	9.917368684	11.5	9.536333167	10.87181591
5.198154077	15.1993947	13.05793897	14.06558779	3.489774887	8.190350175	10.06452226	11.5	9.558214107	10.71772386
5.192031016	15.17202101	13.03823412	14.07729365	3.49	8.160965483	10.21415708	11.5	9.546603302	10.55493247
5.185907954	15.13830915	13.0249975	14.0889995	3.49	8.122476238	10.3537919	11.49611306	9.524032016	10.40149075
5.179784892	15.11363682	13.00676338	14.09	3.49	8.084252126	10.49233117	11.4905903	9.494857429	10.25804902
5.173661831	15.09987494	13	14.0912056	3.499714857	8.062266133	10.61306153	11.49493247	9.465682841	10.11168584
5.167538769	15.06565783	12.99529265	14.09705853	3.50969985	8.02056028	10.74269635	11.49954477	9.454127064	9.971165583
5.161415708	15.03515258	12.98455728	14.1	3.51	7.988294147	10.8686093	11.49402201	9.434167084	9.837723862
5.155292646	15.00777889	12.98	14.1	3.519669835	7.963846923	10.98131066	11.4930015	9.40092046	9.707138569
5.15	14.9804052	12.98	14.11385193	3.52	7.927203602	11.08466733	11.50404702	9.415507754	9.59084042
5.15	14.95727364	12.98764882	14.12952976	3.52	7.896448224	11.19269635	11.50745373	9.384667334	9.467918959
5.146923462	14.93674337	12.99838419	14.12367684	3.52	7.863916958	11.28072536	11.50193097	9.345317659	9.361165583
5.1408004	14.91621311	13	14.12652826	3.52	7.827818909	11.3670035	11.4964082	9.330730365	9.254412206
5.14	14.89568284	13.00985493	14.14408704	3.529594797	7.798504252	11.44342671	11.49088544	9.343856928	9.147658829
5.137108554	14.87353677	13.0105903	14.15	3.53957979	7.763986993	11.52488744	11.49463732	9.328889445	9.04817909
5.124862431	14.84616308	13.02132566	14.15	3.54	7.732406203	11.59627314	11.49983992	9.292421211	8.948114057
5.116308154	14.82409205	13.03	14.15558779	3.549549775	7.71042021	11.66452226	11.49431716	9.255952976	8.85869935
5.110185093	14.80356178	13.0355928	14.16144072	3.559534767	7.681245623	11.71911956	11.4887944	9.243896948	8.792661331
5.104062031	14.78303152	13.05	14.16729365	3.56951976	7.651930965	11.79	11.48327164	9.229809905	8.76
5.1	14.76250125	13.05	14.17314657	3.560495248	7.622616308	11.83897449	11.47774887	9.20861931	8.76
5.1	14.74197099	13.0550025	14.1789995	3.569489745	7.593301651	11.8845973	11.47222611	9.194032016	8.794807404
5.091385693	14.72144072	13.06	14.18	3.579474737	7.563986993	11.9324062	11.4634067	9.184722361	8.858184092
5.08	14.70727364	13.07294647	14.18070535	3.57054027	7.538504252	11.99342671	11.45236118	9.174857429	8.952341171
5.08	14.69038019	13.08	14.18655828	3.588889445	7.515357679	12.02824412	11.45	9.160270135	9.059874937
5.08	14.66989995	13.08794397	14.18758879	3.59	7.486043022	12.06204102	11.45	9.138524262	9.176628314
5.08	14.65621311	13.09	14.18173587	3.59	7.462546273	12.09787894	11.44461231	9.13	9.284227114
5.08	14.63878939	13.09941471	14.18411706	3.59	7.437413707	12.13423212	11.44	9.128254127	9.392601301
5.08	14.61825913	13.11	14.18996998	3.59	7.40809905	12.17167584	11.44	9.12096048	9.496888444
5.08	14.59772886	13.11	14.20746873	3.580630315	7.378784392	12.20744372	11.44	9.107333667	9.58182091
5.08	14.57293147	13.11	14.22	3.589354677	7.359734867	12.23714857	11.44	9.096373187	9.635197599
5.08	14.54888944	13.11235618	14.22	3.59	7.340155078	12.26131066	11.427994	9.09184092	9.678574287
5.08	14.54204602	13.12309155	14.22338169	3.580675338	7.31084042	12.32452226	11.40590295	9.106428214	9.71
5.08	14.52081041	13.12617309	14.22923462	3.570690345	7.281525763	12.35	11.4	9.098984492	9.71
5.08	14.49835918	13.12456228	14.22491246	3.551410705	7.256658329	12.40094547	11.4	9.092801401	9.71
5.087813907	14.49151576	13.1405953	14.21905953	3.55	7.236448224	12.4353927	11.38981491	9.100095048	9.68
5.10006003	14.47401701	13.15	14.2132066	3.540735368	7.221790895	12.48736868	11.37753877	9.107388694	9.67
5.112306153	14.45565783	13.15676838	14.21264632	3.52150075	7.194267134	12.50087044	11.35544772	9.11	9.645582791
5.124552276	14.44197099	13.16	14.21849925	3.501530765	7.172476238	12.5637919	11.33833917	9.106048024	9.62
5.136798399	14.43414207	13.16823912	14.22	3.49078039	7.156728364	12.58050525	11.33281641	9.09146073	9.612206103
5.14	14.42189595	13.17897449	14.22	3.471590795	7.134742371	12.62510755	11.32729365	9.103126563	9.614482241
5.140645323	14.40136568	13.18	14.22	3.45162081	7.118504252	12.63671336	11.32177089	9.106143072	9.622341171
5.146768384	14.38722361	13.20044522	14.22191096	3.431650825	7.100770385	12.65831916	11.30874437	9.102301151	9.665717859
5.155782891	14.37676838	13.21236118	14.22776388	3.41168084	7.079189595	12.68	11.29217609	9.116888444	9.679094547
5.168029015	14.36992496	13.23383192	14.22276638	3.400855428	7.064532266	12.69846923	11.2756078	9.125737869	9.721235618
5.175137569	14.36308154	13.25530265	14.21106053	3.372611306	7.044812406	12.70627314	11.26	9.126968484	9.767923962
5.182521261	14.36	13.27338669	14.21	3.360885443	7.022826413	12.72525763	11.26	9.120975488	9.813836918
5.194767384	14.3593947	13.28824412	14.20647324	3.3418009	7.00084042	12.73	11.25590295	9.142856428	9.862601301
5.207013507	14.35255128	13.31457229	14.18891446	3.330915458	6.985902951	12.76	11.23933467	9.15	9.915977989
5.21925963	14.35429215	13.34118559	14.18288144	3.302791396	6.971245623	12.76	11.22517759	9.15	9.984032016
5.237258629	14.36113557	13.36898449	14.18873437	3.3	6.956588294	12.76233117	11.21413207	9.15	10.05682841
5.253751876	14.36797899	13.38706353	14.18082541	3.29096048	6.941930965	12.77445723	11.20308654	9.143206603	10.17027014
5.265997999	14.37964482	13.4211956	14.16955978	3.271950975	6.920910455	12.77437719	11.19204102	9.148174087	10.31845423
5.286488244	14.39166583	13.44706853	14.16370685	3.260990495	6.902616308	12.79	11.17649325	9.162761381	10.50144572
5.310490245	14.39850925	13.48707854	14.15141571	3.251005503	6.88897949	12.79	11.15994997	9.177348674	10.71307154
5.322736368	14.42141071	13.51001501	14.128004	3.25	6.881650825	12.7991946	11.14890445	9.168064032	10.93845923
5.337473737	14.4443922	13.54222111	14.12385193	3.241035518	6.868644322	12.7983992	11.13785893	9.166523262	11.16495748
5.355842921	14.45807904	13.57442721	14.12970485	3.24	6.853986993	12.7824062	11.12681341	9.179444722	11.40547274
5.369474737	14.47764882	13.60663332	14.11888444	3.24	6.839329665	12.79401201	11.11788394	9.172151076	11.62897949
5.38172086	14.50090545	13.63589295	14.10717859	3.24	6.824672336	12.78123562	11.11236118	9.180285143	11.84248624
5.393966983	14.52827914	13.66104552	14.09547274	3.24	6.815007504	12.79	11.10051526	9.185127564	12.04774387
5.40931966	14.56206603	13.69325163	14.08376688	3.257778889	6.805357679	12.77234117	11.08394697	9.17054027	12.21456228
5.427688844	14.59628314	13.72545773	14.07206103	3.251125563	6.79070035	12.74130565	11.0757929	9.17	12.36975488
5.440705353	14.63070035	13.75766383	14.05553277	3.25	6.776043022	12.75387694	11.07027014	9.17	12.51157079
5.454427214	14.6786043	13.78324662	14.03932466	3.258844422	6.765692846	12.73	11.05949475	9.171610805	12.62001501
5.472796398	14.72272136	13.80471736	14.03347174	3.268829415	6.756728364	12.70474737	11.04689845	9.178904452	12.72507254
5.491165583	14.76315158	13.82618809	14.02523762	3.27	6.742071036	12.66256628	11.0248074	9.167603802	12.79837919
5.509534767	14.79736868	13.86531766	14.01353177	3.2787994	6.727413707	12.6246073	11.00817909	9.16	12.8752026
5.533871936	14.84453727	13.88912956	14.00182591	3.297568784	6.716378189	12.57978989	11.00265633	9.16	12.93526763
5.556273137	14.89696348	13.92030015	13.99012006	3.326308154	6.70809905	12.52994497	10.99713357	9.16	12.99533267
5.574642321	14.93802401	13.93310655	13.96682841	3.382526263	6.693441721	12.47343672	10.99161081	9.143881941	13.0453977
5.597348674	14.97423712	13.96177089	13.94835418	3.407478739	6.684392196	12.41022511	10.98217609	9.124667334	13.09364182
5.622301151	15.01014507	13.98002501	13.94250125	3.436173087	6.68	12.35052026	10.97113057	9.11008004	13.13701851
5.652916458	15.0512056	14.01324162	13.92994497	3.466128064	6.679204602	12.2838019	10.96008504	9.095492746	13.1803952
5.683531766	15.09226613	14.02795398	13.91238619	3.496083042	6.657218609	12.22088544	10.94903952	9.09	13.21
5.714147074	15.12888444	14.04471236	13.89482741	3.517358679	6.65	12.14475738	10.937994	9.082636318	13.22
5.744762381	15.15625813	14.06089545	13.87726863	3.528664332	6.647748874	12.07125063	10.92694847	9.053461731	13.23526263
5.775377689	15.20135568	14.07618309	13.85970985	3.53	6.64042021	11.99643322	10.91590295	9.037143572	13.24
5.805992996	15.2410055	14.09383692	13.84476738	3.538634317	6.633091546	11.94161581	10.90742871	9.022556278	13.24
5.839929965	15.26837919	14.09234617	13.83306153	3.54861931	6.625762881	11.86906453	10.90190595	9.007968984	13.23
5.876668334	15.30862931	14.09838919	13.82567784	3.558604302	6.616868434	11.80132066	10.89276638	8.993381691	13.20798399
5.918974487	15.34312656	14.10912456	13.81964982	3.577178589	6.602211106	11.72621811	10.88172086	8.978794397	13.19129565
5.961835918	15.37062531	14.11985993	13.80794397	3.588574287	6.593776888	11.66234617	10.86601301	8.964207104	13.1646073
6.004697349	15.40484242	14.11	13.79623812	3.641355678	6.59	11.59752876	10.85	8.94961981	13.13791896
6.043621811	15.43524762	14.11133067	13.78453227	3.641455728	6.58911956	11.51847424	10.85	8.935032516	13.11123062
6.08042021	15.46196598	14.11793397	13.76923962	3.648529265	6.581790895	11.43	10.84753877	8.915667834	13.07
6.123281641	15.48249625	14.1156028	13.75168084	3.667028514	6.574462231	11.34512756	10.83649325	8.897928964	13.02356178
6.163836918	15.51605303	14.13	13.75	3.67849925	6.57	11.27709855	10.82089545	8.890635318	12.96233117
6.200575288	15.55355678	14.13	13.74885443	3.688484242	6.569609805	11.18125563	10.7988044	8.876683342	12.92447724
6.260075038	15.57408704	14.11998499	13.7430015	3.698469235	6.554952476	11.08724862	10.79	8.873951976	12.87336668
6.324052026	15.61410705	14.11	13.73714857	3.716908454	6.545147574	10.99301151	10.79	8.88	12.8122011
6.360790395	15.65686343	14.11	13.73129565	3.736878439	6.537818909	10.89498249	10.78563282	8.88	12.76882441
6.403371686	15.68423712	14.10278639	13.72544272	3.756848424	6.530490245	10.79695348	10.78011006	8.88	12.72544772
6.452356178	15.7062081	14.1	13.71958979	3.793636818	6.523161581	10.68892446	10.76376188	8.876873437	12.69
6.496173087	15.73123062	14.09131566	13.71373687	3.816788394	6.52	10.58089545	10.74906453	8.87042021	12.64565283
6.541615808	15.76544772	14.09	13.71	3.853516758	6.518504252	10.48286643	10.74354177	8.877713857	12.62531766
6.596723362	15.79373187	14.06031016	13.71	3.885092546	6.511175588	10.3698049	10.73603802	8.885007504	12.59194097
6.648294147	15.81832916	14.07821911	13.71	3.923396698	6.503846923	10.2668084	10.7249925	8.892301151	12.56856428
6.697278639	15.83885943	14.05837419	13.71	3.971670835	6.493036518	10.16702351	10.71394697	8.899594797	12.56
