V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
4.72	9.55	8.02	5.19	2.23	3.64	4.02	6.31	4.66	6.12
4.72	9.548289145	8.01	5.201705853	2.23	3.632191096	4.02	6.304477239	4.66	6.12
4.72	9.546578289	8.01	5.213411706	2.23	3.635617809	4.02	6.298954477	4.655422711	6.123376688
4.72	9.544867434	8.01	5.225117559	2.23	3.636573287	4.02	6.293431716	4.65	6.13
4.72	9.543156578	8.01	5.236823412	2.23	3.631235618	4.02	6.287908954	4.65	6.13
4.72	9.541445723	8.01	5.248529265	2.23	3.639044522	4.02	6.282386193	4.65	6.13
4.72	9.539734867	8.01	5.260235118	2.23	3.633146573	4.02	6.276863432	4.646268134	6.14
4.720715358	9.538024012	8.01	5.272911456	2.23	3.63	4.01875938	6.27134067	4.64	6.14
4.722246123	9.536313157	8.01	5.290470235	2.23	3.632471236	4.01	6.265817909	4.64	6.14
4.723776888	9.534602301	8.016618309	5.305352676	2.23	3.64	4.01	6.260295148	4.64	6.14
4.725307654	9.532891446	8.02	5.317058529	2.23	3.64	4.003941971	6.254772386	4.637113557	6.14
4.726838419	9.53118059	8.028089045	5.328764382	2.23	3.634102051	4	6.25	4.63	6.14
4.728369185	9.529469735	8.03	5.340705353	2.23	3.63	4	6.25	4.63	6.13973987
4.72989995	9.527758879	8.03	5.358264132	2.23	3.63	4	6.248204102	4.625247624	6.13
4.731430715	9.526048024	8.04	5.373881941	2.23	3.63	3.99	6.242681341	4.62	6.116363182
4.732961481	9.524337169	8.041030515	5.385587794	2.23	3.622866433	3.985912956	6.237158579	4.62	6.1
4.734492246	9.522626313	8.05	5.397293647	2.23	3.624942471	3.98	6.231635818	4.613381691	6.082986493
4.736023012	9.520915458	8.052501251	5.4089995	2.23	3.63	3.972701351	6.226113057	4.61	6.06
4.737553777	9.519204602	8.06	5.420705353	2.23	3.63	3.97	6.220590295	4.61	6.039609805
4.739084542	9.517493747	8.063971986	5.432411206	2.23	3.63	3.97	6.215067534	4.61	6.012921461
4.740615308	9.515782891	8.07	5.444117059	2.23	3.63	3.967883942	6.209544772	4.604227114	5.986233117
4.742146073	9.514072036	8.075442721	5.455822911	2.23	3.63	3.966278139	6.204022011	4.6	5.95
4.743676838	9.512361181	8.086178089	5.467528764	2.23	3.631795898	3.955327664	6.19849925	4.599649825	5.922856428
4.745207604	9.510650325	8.09	5.479234617	2.23	3.639604802	3.953066533	6.192976488	4.592361181	5.896168084
4.746738369	9.51106053	8.097648824	5.49094047	2.23	3.625172586	3.95	6.187453727	4.59	5.85947974
4.748269135	9.512771386	8.108384192	5.502646323	2.23	3.625222611	3.96	6.181930965	4.59	5.822791396
4.7497999	9.514482241	8.11911956	5.514352176	2.23	3.63	3.96	6.176408204	4.59	5.79
4.751330665	9.516193097	8.12	5.526058029	2.23	3.62915958	3.97	6.170885443	4.583206603	5.759414707
4.752861431	9.517903952	8.130590295	5.537763882	2.23	3.621350675	3.984962481	6.165362681	4.58	5.732726363
4.754392196	9.519614807	8.141325663	5.549469735	2.23	3.626458229	4.006568284	6.16	4.578629315	5.696038019
4.755922961	9.521325663	8.15	5.561175588	2.23	3.63	4.026348174	6.16	4.57134067	5.659349675
4.757453727	9.523036518	8.152796398	5.572881441	2.23	3.627923962	4.04977989	6.158794397	4.57	5.632661331
4.758984492	9.524747374	8.163531766	5.584587294	2.23	3.620115058	4.082771386	6.153271636	4.57	5.595972986
4.760515258	9.526458229	8.17	5.596293147	2.23	3.612306153	4.122991496	6.147748874	4.57	5.569284642
4.762046023	9.528169085	8.17	5.607998999	2.23	3.615502751	4.159194597	6.142226113	4.57	5.542596298
4.763576788	9.52987994	8.17	5.619704852	2.23	3.616688344	4.202406203	6.136703352	4.564897449	5.511815908
4.765107554	9.53	8.17	5.631410705	2.23	3.61	4.237808904	6.13118059	4.56	5.47921961
4.766638319	9.53	8.177208604	5.643116558	2.23	3.61	4.278829415	6.125657829	4.56	5.452531266
4.768169085	9.53	8.18	5.652411206	2.23	3.61	4.322041021	6.120135068	4.56	5.425842921
4.76969985	9.53	8.18	5.658264132	2.23	3.614547274	4.362626313	6.114612306	4.56	5.399154577
4.774922461	9.53	8.18	5.668234117	2.23	3.617643822	4.398464232	6.11	4.558454227	5.372466233
4.781045523	9.529709855	8.18	5.67993997	2.23	3.61	4.441675838	6.11	4.551165583	5.345777889
4.787168584	9.526288144	8.18	5.691645823	2.23	3.61	4.482331166	6.108044022	4.55	5.32
4.793291646	9.522866433	8.18	5.703351676	2.23	3.615782891	4.51809905	6.102521261	4.55	5.302401201
4.799414707	9.519444722	8.18	5.715057529	2.23	3.62	4.560655328	6.096998499	4.55	5.275712856
4.805537769	9.516023012	8.18	5.726763382	2.23	3.62	4.592261131	6.091475738	4.55	5.259024512
4.813321661	9.512601301	8.18	5.738469235	2.239309655	3.62	4.627733867	6.085952976	4.55	5.24
4.825567784	9.508769385	8.18	5.745087544	2.24	3.612981491	4.665472736	6.080430215	4.547433717	5.215647824
4.837813907	9.503636818	8.18	5.75188094	2.24	3.614827414	4.704157079	6.074907454	4.540145073	5.19
4.85006003	9.498504252	8.18	5.763586793	2.24	3.614727364	4.737368684	6.069384692	4.54	5.18
4.862306153	9.493371686	8.18	5.775292646	2.230750375	3.600445223	4.770290145	6.063861931	4.54	5.165582791
4.874552276	9.48823912	8.18	5.786998499	2.239234617	3.608254127	4.801895948	6.05833917	4.53827914	5.148894447
4.886798399	9.483106553	8.18	5.798704352	2.23078039	3.61	4.837003502	6.052816408	4.530990495	5.132206103
4.900175088	9.477973987	8.18	5.810205103	2.239204602	3.61	4.870215108	6.047293647	4.53	5.115517759
4.913951976	9.472841421	8.18	5.816058029	2.230810405	3.61	4.903426713	6.041770885	4.53	5.108829415
4.927728864	9.467708854	8.17	5.821910955	2.23	3.61	4.92831916	6.04	4.53	5.1
4.941505753	9.462576288	8.17	5.827763882	2.23	3.61	4.959924962	6.04	4.53	5.09
4.955282641	9.457443722	8.17	5.837233617	2.23	3.615107554	4.993061531	6.035202601	4.53	5.07
