Date	Time	Height
10/1/15	0:00	3.625
10/1/15	1:00	3.6
10/1/15	2:00	3.58
10/1/15	3:00	3.56
10/1/15	4:00	3.54
10/1/15	5:00	3.52
10/1/15	6:00	3.5
10/1/15	7:00	3.485
10/1/15	8:00	3.465
10/1/15	9:00	3.445
10/1/15	10:00	3.43
10/1/15	11:00	3.4125
10/1/15	12:00	3.3975
10/1/15	13:00	3.38
10/1/15	14:00	3.365
10/1/15	15:00	3.3475
10/1/15	16:00	3.335
10/1/15	17:00	3.3175
10/1/15	18:00	3.3025
10/1/15	19:00	3.29
10/1/15	20:00	3.275
10/1/15	21:00	3.26
10/1/15	22:00	3.265
10/1/15	23:00	3.255
10/2/15	0:00	3.2425
10/2/15	1:00	3.2275
10/2/15	2:00	3.2175
10/2/15	3:00	3.205
10/2/15	4:00	3.2
10/2/15	5:00	3.1875
10/2/15	6:00	3.18
10/2/15	7:00	3.17
10/2/15	8:00	3.16
10/2/15	9:00	3.15
10/2/15	10:00	3.1425
10/2/15	11:00	3.14
10/2/15	12:00	3.1525
10/2/15	13:00	3.2
10/2/15	14:00	3.2525
10/2/15	15:00	3.3225
10/2/15	16:00	3.385
10/2/15	17:00	3.4425
10/2/15	18:00	3.495
10/2/15	19:00	3.545
10/2/15	20:00	3.595
10/2/15	21:00	3.63
10/2/15	22:00	3.6575
10/2/15	23:00	3.69
10/3/15	0:00	3.72
10/3/15	1:00	3.73
10/3/15	2:00	3.74
10/3/15	3:00	3.7575
10/3/15	4:00	3.795
10/3/15	5:00	3.8675
10/3/15	6:00	4.015
10/3/15	7:00	4.2075
10/3/15	8:00	4.3975
10/3/15	9:00	4.6125
10/3/15	10:00	4.815
10/3/15	11:00	4.9975
10/3/15	12:00	5.17
10/3/15	13:00	5.3175
10/3/15	14:00	5.45
10/3/15	15:00	5.5775
10/3/15	16:00	5.7125
10/3/15	17:00	5.8425
10/3/15	18:00	5.9625
10/3/15	19:00	6.0975
10/3/15	20:00	6.22
10/3/15	21:00	6.3825
10/3/15	22:00	6.5425
10/3/15	23:00	6.695
10/4/15	0:00	6.975
10/4/15	1:00	7.245
10/4/15	2:00	7.505
10/4/15	3:00	7.7575
10/4/15	4:00	7.9775
10/4/15	5:00	8.155
10/4/15	6:00	8.335
10/4/15	7:00	8.5175
10/4/15	8:00	8.6925
10/4/15	9:00	8.8825
10/4/15	10:00	9.09
10/4/15	11:00	9.3225
10/4/15	12:00	9.6275
10/4/15	13:00	10.0825
10/4/15	14:00	10.5425
10/4/15	15:00	10.885
10/4/15	16:00	11.195
10/4/15	17:00	11.4675
10/4/15	18:00	11.7
10/4/15	19:00	11.885
10/4/15	20:00	12.0425
10/4/15	21:00	12.195
10/4/15	22:00	12.415
10/4/15	23:00	12.715
10/16/15	0:00	8.8175
10/16/15	1:00	8.785
10/16/15	2:00	8.745
10/16/15	3:00	8.705
10/16/15	4:00	8.665
10/16/15	5:00	8.6225
10/16/15	6:00	8.575
10/16/15	7:00	8.5275
10/16/15	8:00	8.48
10/16/15	9:00	8.4325
10/16/15	10:00	8.3775
10/16/15	11:00	8.3275
10/16/15	12:00	8.275
10/16/15	13:00	8.225
10/16/15	14:00	8.1725
10/16/15	15:00	8.12
10/16/15	16:00	8.065
10/16/15	17:00	8.0125
10/16/15	18:00	7.96
10/16/15	19:00	7.9025
10/16/15	20:00	7.8475
10/16/15	21:00	7.7925
10/16/15	22:00	7.74
10/16/15	23:00	7.685
10/17/15	0:00	7.635
10/17/15	1:00	7.58
10/17/15	2:00	7.5225
10/17/15	3:00	7.47
10/17/15	4:00	7.42
10/17/15	5:00	7.365
10/17/15	6:00	7.31
10/17/15	7:00	7.2575
10/17/15	8:00	7.2
10/17/15	9:00	7.1425
10/17/15	10:00	7.0875
10/17/15	11:00	7.0325
10/17/15	12:00	6.98
10/17/15	13:00	6.9275
10/17/15	14:00	6.8675
10/17/15	15:00	6.8125
10/17/15	16:00	6.7625
10/17/15	17:00	6.715
10/17/15	18:00	6.665
10/17/15	19:00	6.6175
10/17/15	20:00	6.57
10/17/15	21:00	6.525
10/17/15	22:00	6.475
10/17/15	23:00	6.43
10/18/15	0:00	6.385
10/18/15	1:00	6.34
10/18/15	2:00	6.295
10/18/15	3:00	6.2475
10/18/15	4:00	6.205
10/18/15	5:00	6.1575
10/18/15	6:00	6.115
10/18/15	7:00	6.075
10/18/15	8:00	6.025
10/18/15	9:00	5.9775
10/18/15	10:00	5.935
10/18/15	11:00	5.895
10/18/15	12:00	5.845
10/18/15	13:00	5.805
10/18/15	14:00	5.765
10/18/15	15:00	5.725
10/18/15	16:00	5.685
10/18/15	17:00	5.645
10/18/15	18:00	5.605
10/18/15	19:00	5.565
10/18/15	20:00	5.5275
10/18/15	21:00	5.495
10/18/15	22:00	5.455
10/18/15	23:00	5.425
10/19/15	0:00	5.3925
10/19/15	1:00	5.355
10/19/15	2:00	5.325
10/19/15	3:00	5.2925
10/19/15	4:00	5.2625
10/19/15	5:00	5.23
10/19/15	6:00	5.1975
10/19/15	7:00	5.165
10/19/15	8:00	5.1375
10/19/15	9:00	5.105
10/19/15	10:00	5.0675
10/19/15	11:00	5.0375
10/19/15	12:00	5.005
10/19/15	13:00	4.975
10/19/15	14:00	4.945
10/19/15	15:00	4.9175
10/19/15	16:00	4.89
10/19/15	17:00	4.8675
10/19/15	18:00	4.84
10/19/15	19:00	4.8125
10/19/15	20:00	4.7875
10/19/15	21:00	4.765
10/19/15	22:00	4.74
10/19/15	23:00	4.72
10/20/15	0:00	4.695
10/20/15	1:00	4.6725
10/20/15	2:00	4.65
10/20/15	3:00	4.63
10/20/15	4:00	4.6075
10/20/15	5:00	4.5875
10/20/15	6:00	4.565
10/20/15	7:00	4.545
10/20/15	8:00	4.52
10/20/15	9:00	4.5
10/20/15	10:00	4.4775
10/20/15	11:00	4.455
10/20/15	12:00	4.43
10/20/15	13:00	4.415
10/20/15	14:00	4.395
10/20/15	15:00	4.375
10/20/15	16:00	4.3575
10/20/15	17:00	4.345
10/20/15	18:00	4.325
10/20/15	19:00	4.3075
10/20/15	20:00	4.295
10/20/15	21:00	4.275
10/20/15	22:00	4.26
