Date	Time	CongHt
1/19/20	0:00	14.72
1/19/20	0:15	14.69
1/19/20	0:30	14.67
1/19/20	0:45	14.66
1/19/20	1:00	14.64
1/19/20	1:15	14.63
1/19/20	1:30	14.59
1/19/20	1:45	14.6
1/19/20	2:00	14.6
1/19/20	2:15	14.56
1/19/20	2:30	14.55
1/19/20	2:45	14.52
1/19/20	3:00	14.5
1/19/20	3:15	14.48
1/19/20	3:30	14.46
1/19/20	3:45	14.44
1/19/20	4:00	14.42
1/19/20	4:15	14.4
1/19/20	4:30	14.37
1/19/20	4:45	14.36
1/19/20	5:00	14.34
1/19/20	5:15	14.32
1/19/20	5:30	14.3
1/19/20	5:45	14.28
1/19/20	6:00	14.24
1/19/20	6:15	14.24
1/19/20	6:30	14.22
1/19/20	6:45	14.2
1/19/20	7:00	14.17
1/19/20	7:15	14.17
1/19/20	7:30	14.14
1/19/20	7:45	14.1
1/19/20	8:00	14.08
1/19/20	8:15	14.08
1/19/20	8:30	14.05
1/19/20	8:45	14.04
1/19/20	9:00	14.02
1/19/20	9:15	14
1/19/20	9:30	13.96
1/19/20	9:45	13.95
1/19/20	10:00	13.93
1/19/20	10:15	13.9
1/19/20	10:30	13.87
1/19/20	10:45	13.84
1/19/20	11:00	13.84
1/19/20	11:15	13.81
1/19/20	11:30	13.77
1/19/20	11:45	13.74
1/19/20	12:00	13.76
1/19/20	12:15	13.7
1/19/20	12:30	13.68
1/19/20	12:45	13.65
1/19/20	13:00	13.62
1/19/20	13:15	13.57
1/19/20	13:30	13.55
1/19/20	13:45	13.53
1/19/20	14:00	13.48
1/19/20	14:15	13.46
1/19/20	14:30	13.44
1/19/20	14:45	13.39
1/19/20	15:00	13.36
1/19/20	15:15	13.33
1/19/20	15:30	13.3
1/19/20	15:45	13.25
1/19/20	16:00	13.21
1/19/20	16:15	13.16
1/19/20	16:30	13.14
1/19/20	16:45	13.1
1/19/20	17:00	13.05
1/19/20	17:15	13.01
1/19/20	17:30	12.98
1/19/20	17:45	12.93
1/19/20	18:00	12.88
1/19/20	18:15	12.85
1/19/20	18:30	12.79
1/19/20	18:45	12.76
1/19/20	19:00	12.7
1/19/20	19:15	12.65
1/19/20	19:30	12.61
1/19/20	19:45	12.57
1/19/20	20:00	12.52
1/19/20	20:15	12.48
1/19/20	20:30	12.42
1/19/20	20:45	12.38
1/19/20	21:00	12.34
1/19/20	21:15	12.3
1/19/20	21:30	12.25
1/19/20	21:45	12.2
1/19/20	22:00	12.15
1/19/20	22:15	12.11
1/19/20	22:30	12.05
1/19/20	22:45	12.03
1/19/20	23:00	11.96
1/19/20	23:15	11.92
1/19/20	23:30	11.87
1/19/20	23:45	11.83
1/20/20	0:00	11.79
1/20/20	0:15	11.74
1/20/20	0:30	11.69
1/20/20	0:45	11.66
1/20/20	1:00	11.62
1/20/20	1:15	11.58
1/20/20	1:30	11.56
1/20/20	1:45	11.51
1/20/20	2:00	11.48
1/20/20	2:15	11.44
1/20/20	2:30	11.4
1/20/20	2:45	11.36
1/20/20	3:00	11.34
1/20/20	3:15	11.3
1/20/20	3:30	11.28
1/20/20	3:45	11.23
1/20/20	4:00	11.2
1/20/20	4:15	11.17
1/20/20	4:30	11.13
1/20/20	4:45	11.11
1/20/20	5:00	11.07
1/20/20	5:15	11.05
1/20/20	5:30	11
1/20/20	5:45	10.97
1/20/20	6:00	10.93
1/20/20	6:15	10.89
1/20/20	6:30	10.86
1/20/20	6:45	10.83
1/20/20	7:00	10.79
1/20/20	7:15	10.75
1/20/20	7:30	10.72
1/20/20	7:45	10.69
1/20/20	8:00	10.65
1/20/20	8:15	10.62
1/20/20	8:30	10.59
1/20/20	8:45	10.55
1/20/20	9:00	10.52
1/20/20	9:15	10.5
1/20/20	9:30	10.47
1/20/20	9:45	10.46
1/20/20	10:00	10.41
1/20/20	10:15	10.38
1/20/20	10:30	10.38
1/20/20	10:45	10.37
1/20/20	11:00	10.35
1/20/20	11:15	10.32
1/20/20	11:30	10.31
1/20/20	11:45	10.29
1/20/20	12:00	10.3
1/20/20	12:15	10.28
1/20/20	12:30	10.28
1/20/20	12:45	10.26
1/20/20	13:00	10.26
1/20/20	13:15	10.25
1/20/20	13:30	10.27
1/20/20	13:45	10.27
1/20/20	14:00	10.27
1/20/20	14:15	10.27
1/20/20	14:30	10.27
1/20/20	14:45	10.29
1/20/20	15:00	10.29
1/20/20	15:15	10.31
1/20/20	15:30	10.32
1/20/20	15:45	10.34
1/20/20	16:00	10.34
1/20/20	16:15	10.36
1/20/20	16:30	10.37
1/20/20	16:45	10.38
1/20/20	17:00	10.4
1/20/20	17:15	10.43
1/20/20	17:30	10.44
1/20/20	17:45	10.47
1/20/20	18:00	10.5
1/20/20	18:15	10.52
1/20/20	18:30	10.55
1/20/20	18:45	10.59
1/20/20	19:00	10.61
1/20/20	19:15	10.64
1/20/20	19:30	10.68
1/20/20	19:45	10.74
1/20/20	20:00	10.76
1/20/20	20:15	10.8
1/20/20	20:30	10.84
1/20/20	20:45	10.88
1/20/20	21:00	10.91
1/20/20	21:15	10.96
1/20/20	21:30	10.98
1/20/20	21:45	11.02
1/20/20	22:00	11.05
1/20/20	22:15	11.08
1/20/20	22:30	11.14
1/20/20	22:45	11.14
1/20/20	23:00	11.17
1/20/20	23:15	11.2
1/20/20	23:30	11.22
1/20/20	23:45	11.23
1/21/20	0:00	11.26
1/21/20	0:15	11.28
1/21/20	0:30	11.28
1/21/20	0:45	11.3
1/21/20	1:00	11.3
1/21/20	1:15	11.3
1/21/20	1:30	11.3
1/21/20	1:45	11.33
1/21/20	2:00	11.31
1/21/20	2:15	11.31
1/21/20	2:30	11.29
1/21/20	2:45	11.31
1/21/20	3:00	11.29
1/21/20	3:15	11.27
1/21/20	3:30	11.24
1/21/20	3:45	11.25
1/21/20	4:00	11.2
1/21/20	4:15	11.19
1/21/20	4:30	11.18
1/21/20	4:45	11.14
1/21/20	5:00	11.11
1/21/20	5:15	11.08
1/21/20	5:30	11.05
1/21/20	5:45	11.03
1/21/20	6:00	10.98
1/21/20	6:15	10.94
1/21/20	6:30	10.91
1/21/20	6:45	10.87
1/21/20	7:00	10.83
1/21/20	7:15	10.8
1/21/20	7:30	10.76
1/21/20	7:45	10.73
1/21/20	8:00	10.69
1/21/20	8:15	10.67
1/21/20	8:30	10.63
1/21/20	8:45	10.59
1/21/20	9:00	10.56
1/21/20	9:15	10.54
1/21/20	9:30	10.51
1/21/20	9:45	10.48
1/21/20	10:00	10.45
1/21/20	10:15	10.42
1/21/20	10:30	10.4
1/21/20	10:45	10.39
1/21/20	11:00	10.38
1/21/20	11:15	10.36
1/21/20	11:30	10.33
1/21/20	11:45	10.32
1/21/20	12:00	10.3
1/21/20	12:15	10.31
1/21/20	12:30	10.28
1/21/20	12:45	10.28
1/21/20	13:00	10.27
1/21/20	13:15	10.25
1/21/20	13:30	10.26
1/21/20	13:45	10.24
1/21/20	14:00	10.26
1/21/20	14:15	10.22
1/21/20	14:30	10.25
1/21/20	14:45	10.24
1/21/20	15:00	10.24
1/21/20	15:15	10.23
1/21/20	15:30	10.24
1/21/20	15:45	10.25
1/21/20	16:00	10.27
1/21/20	16:15	10.28
1/21/20	16:30	10.31
1/21/20	16:45	10.32
1/21/20	17:00	10.34
1/21/20	17:15	10.38
1/21/20	17:30	10.41
1/21/20	17:45	10.44
1/21/20	18:00	10.48
1/21/20	18:15	10.5
1/21/20	18:30	10.53
1/21/20	18:45	10.57
1/21/20	19:00	10.61
1/21/20	19:15	10.64
1/21/20	19:30	10.68
1/21/20	19:45	10.71
1/21/20	20:00	10.77
1/21/20	20:15	10.8
1/21/20	20:30	10.83
1/21/20	20:45	10.88
1/21/20	21:00	10.9
1/21/20	21:15	10.94
1/21/20	21:30	10.98
1/21/20	21:45	11
1/21/20	22:00	11.04
1/21/20	22:15	11.05
1/21/20	22:30	11.09
1/21/20	22:45	11.1
1/21/20	23:00	11.13
1/21/20	23:15	11.14
1/21/20	23:30	11.16
1/21/20	23:45	11.17
1/22/20	0:00	11.19
1/22/20	0:15	11.21
1/22/20	0:30	11.2
1/22/20	0:45	11.2
1/22/20	1:00	11.22
1/22/20	1:15	11.2
1/22/20	1:30	11.21
1/22/20	1:45	11.22
1/22/20	2:00	11.2
1/22/20	2:15	11.19
1/22/20	2:30	11.17
1/22/20	2:45	11.17
1/22/20	3:00	11.16
1/22/20	3:15	11.14
1/22/20	3:30	11.12
1/22/20	3:45	11.09
1/22/20	4:00	11.07
1/22/20	4:15	11.05
1/22/20	4:30	11.05
1/22/20	4:45	11
1/22/20	5:00	10.98
1/22/20	5:15	10.95
1/22/20	5:30	10.95
1/22/20	5:45	10.89
1/22/20	6:00	10.87
1/22/20	6:15	10.86
1/22/20	6:30	10.8
1/22/20	6:45	10.79
1/22/20	7:00	10.75
1/22/20	7:15	10.72
1/22/20	7:30	10.7
1/22/20	7:45	10.68
1/22/20	8:00	10.67
1/22/20	8:15	10.64
1/22/20	8:30	10.63
1/22/20	8:45	10.62
1/22/20	9:00	10.62
1/22/20	9:15	10.61
1/22/20	9:30	10.61
1/22/20	9:45	10.62
1/22/20	10:00	10.62
1/22/20	10:15	10.62
1/22/20	10:30	10.64
1/22/20	10:45	10.65
1/22/20	11:00	10.67
1/22/20	11:15	10.68
1/22/20	11:30	10.72
1/22/20	11:45	10.73
1/22/20	12:00	10.74
1/22/20	12:15	10.77
1/22/20	12:30	10.8
1/22/20	12:45	10.82
1/22/20	13:00	10.87
1/22/20	13:15	10.88
1/22/20	13:30	10.91
1/22/20	13:45	10.93
1/22/20	14:00	10.96
1/22/20	14:15	10.99
1/22/20	14:30	11.02
1/22/20	14:45	11.07
1/22/20	15:00	11.08
1/22/20	15:15	11.11
1/22/20	15:30	11.15
1/22/20	15:45	11.19
1/22/20	16:00	11.22
1/22/20	16:15	11.24
1/22/20	16:30	11.28
1/22/20	16:45	11.32
1/22/20	17:00	11.35
1/22/20	17:15	11.41
1/22/20	17:30	11.43
1/22/20	17:45	11.46
1/22/20	18:00	11.51
1/22/20	18:15	11.53
1/22/20	18:30	11.57
1/22/20	18:45	11.61
1/22/20	19:00	11.64
1/22/20	19:15	11.68
1/22/20	19:30	11.69
1/22/20	19:45	11.71
1/22/20	20:00	11.73
1/22/20	20:15	11.74
1/22/20	20:30	11.75
1/22/20	20:45	11.75
1/22/20	21:00	11.76
1/22/20	21:15	11.74
1/22/20	21:30	11.78
1/22/20	21:45	11.76
1/22/20	22:00	11.73
1/22/20	22:15	11.72
1/22/20	22:30	11.71
1/22/20	22:45	11.69
1/22/20	23:00	11.67
1/22/20	23:15	11.65
1/22/20	23:30	11.62
1/22/20	23:45	11.59
1/23/20	0:00	11.56
1/23/20	0:15	11.53
1/23/20	0:30	11.5
1/23/20	0:45	11.47
1/23/20	1:00	11.45
1/23/20	1:15	11.4
1/23/20	1:30	11.35
1/23/20	1:45	11.31
1/23/20	2:00	11.27
1/23/20	2:15	11.22
1/23/20	2:30	11.18
1/23/20	2:45	11.14
1/23/20	3:00	11.08
1/23/20	3:15	11.03
1/23/20	3:30	10.98
1/23/20	3:45	10.92
1/23/20	4:00	10.87
1/23/20	4:15	10.81
1/23/20	4:30	10.76
1/23/20	4:45	10.69
1/23/20	5:00	10.65
1/23/20	5:15	10.59
1/23/20	5:30	10.54
1/23/20	5:45	10.47
1/23/20	6:00	10.41
1/23/20	6:15	10.35
1/23/20	6:30	10.29
1/23/20	6:45	10.22
1/23/20	7:00	10.16
1/23/20	7:15	10.1
1/23/20	7:30	10.03
1/23/20	7:45	9.98
1/23/20	8:00	9.91
1/23/20	8:15	9.86
1/23/20	8:30	9.8
1/23/20	8:45	9.74
1/23/20	9:00	9.67
1/23/20	9:15	9.61
1/23/20	9:30	9.56
1/23/20	9:45	9.5
1/23/20	10:00	9.44
1/23/20	10:15	9.39
1/23/20	10:30	9.35
1/23/20	10:45	9.28
1/23/20	11:00	9.23
1/23/20	11:15	9.19
1/23/20	11:30	9.14
1/23/20	11:45	9.08
1/23/20	12:00	9.02
1/23/20	12:15	8.98
1/23/20	12:30	8.94
1/23/20	12:45	8.89
1/23/20	13:00	8.85
1/23/20	13:15	8.8
1/23/20	13:30	8.77
1/23/20	13:45	8.72
1/23/20	14:00	8.69
1/23/20	14:15	8.65
1/23/20	14:30	8.62
